CODIGO      ATIVO
01-1383-8   N      
01-1384-1   N      
01-1385-1   N      
01-1386-1   N      
01-1387-1   N      
01-1388-1   N      
01-1388-29  N      
01-1388-4   N      
01-1388-6   N      
01-1388-8   N      
01-1389-1   N      
01-1390-1   N      
01-1391-1   N      
01-1392-1   N      
01-1393-1   N      
01-1394-1   N      
01-1395-1   N      
01-1396     N      
01-1396A    N      
01-1396L    N      
01-1397-1   N      
01-1398-1   N      
01-1399-1   N      
01-139A     N      
01-139P     N      
01-140      N      
01-1400-1   N      
01-1401-1   N      
01-1402-1   N      
01-1403     N      
01-1404-1   N      
01-1405     N      
01-1406     N      
01-1406-0   N      
01-1406SC   N      
01-1407     N      
01-1407B    N      
01-1407L    N      
01-1408     N      
01-1408A    N      
01-1408L    N      
01-1409     N      
01-1409A    N      
01-140AG    N      
01-140FAG   N      
01-1410-2   N      
01-1411     N      
01-1411A    N      
01-1411L    N      
01-1412     N      
01-1412B    N      
01-1412L    N      
01-1413     N      
01-1413A    N      
01-1413AG   N      
01-1413B    N      
01-1413BB   N      
01-1413I    N      
01-1413L    N      
01-1413P    N      
01-1414-3   N      
01-1414-4   N      
01-1414-6   N      
01-1414B3   N      
01-1415     N      
01-1415-23  N      
01-1415-24  N      
01-1415-25  N      
01-1415-26  N      
01-1415-3   N      
01-1415-4   N      
01-1415-6   N      
01-1415-Q   N      
01-1415A3   N      
01-1415A4   N      
01-1415AG4  N      
01-1415P    N      
01-1415P1   N      
01-1415P3   N      
01-1415P4   N      
01-1415P6   N      
01-1416     N      
01-1417-15  N      
01-1418-0   N      
01-1419     N      
01-1419AG   N      
01-1419B    N      
01-1419FAG  N      
01-1419I    N      
01-141A     N      
01-141AI    N      
01-141B     N      
01-141I     N      
01-141L     N      
01-141P     N      
01-141PL    N      
01-1420     N      
01-1420AG   N      
01-1421     N      
01-1422     N      
01-1422SC   N      
01-1423     N      
01-1423A    N      
01-1423SC   N      
01-1424     N      
01-1424-1   N      
01-1424A    N      
01-1424A1   N      
01-1425A    N      
01-1425B    N      
01-1425D    N      
01-1425I    N      
01-1425P    N      
01-1425PP   N      
01-1426-1   N      
01-1427     N      
01-1428-0   N      
01-1429-0   N      
01-142A     N      
01-142AAG   N      
01-142B     N      
01-142BAG   N      
01-142C     N      
01-142P     N      
01-1430     N      
